,LSOA,crime_per_1000,Postcode,LSOA2,Latitude,Longitude
201,E01000210,53.78096479791395,N2  0SB,E00001018,51.592051,-0.18016
202,E01000211,137.35224586288416,NW110WJ,E00001048,51.580293,-0.19911900000000002
203,E01000212,54.317548746518106,NW117UA,E00001055,51.580067,-0.196688
204,E01000213,42.5531914893617,NW116QQ,E00001047,51.580363,-0.181507
205,E01000214,55.653192735793795,NW117RN,E00001060,51.572215,-0.19483499999999998
206,E01000215,40.47730463266261,NW110JZ,E00001097,51.580763,-0.20747100000000002
207,E01000216,35.44868616757561,NW110LZ,E00001063,51.579798,-0.203179
208,E01000217,30.470914127423825,NW110DJ,E00001098,51.584948,-0.201821
209,E01000218,49.78925184404637,NW119ES,E00001062,51.577881,-0.207758
210,E01000219,61.4352090862158,NW119ED,E00001075,51.575301,-0.21433899999999997
211,E01000220,49.30966469428008,NW119PG,E00001069,51.577168,-0.20761300000000002
212,E01000221,298.2654600301659,NW2 1AR,E00001061,51.572026,-0.217166
213,E01000222,67.76239907727798,NW2 1AH,E00001080,51.569708,-0.219046
214,E01000223,189.1399416909621,NW2 6LS,E00001088,51.568642,-0.22825
215,E01000224,54.6448087431694,NW2 1EG,E00001087,51.566428,-0.210921
216,E01000225,40.86140254003313,NW110BF,E00001096,51.584513,-0.20807399999999998
217,E01000226,48.14609850581074,HA8 9JF,E00001115,51.609712,-0.26814499999999997
218,E01000227,47.04652378463147,HA8 9PH,E00001147,51.61482,-0.263357
219,E01000228,42.34527687296417,NW7 3HX,E00001122,51.631958000000004,-0.263252
220,E01000229,43.997668997669,HA8 8YB,E00001133,51.620425,-0.264732
221,E01000230,34.48275862068965,HA8 8SY,E00001124,51.626525,-0.267418
222,E01000231,101.8421052631579,NW7 3HD,E00001130,51.624895,-0.258739
223,E01000232,52.06698063840921,HA8 9RR,E00001138,51.619597,-0.258581
224,E01000233,58.71108683779355,HA8 9NT,E00001141,51.616133000000005,-0.260303
225,E01000234,44.10927717700626,NW7 3LP,E00001143,51.615246,-0.252031
226,E01000235,72.27891156462584,NW7 2GB,E00001114,51.611996999999995,-0.248848
227,E01000236,46.81841696844283,NW119LB,E00001169,51.586199,-0.210144
228,E01000237,118.04267161410019,NW4 4AJ,E00001167,51.587499,-0.22887399999999997
229,E01000238,48.78048780487805,NW119JY,E00001200,51.587012,-0.21100700000000003
230,E01000239,78.2312925170068,NW4 4JA,E00174918,51.592372999999995,-0.233665
231,E01000240,64.35926773455378,NW4 1JE,E00001179,51.599622,-0.229528
232,E01000241,44.72222222222222,NW4 1RH,E00001184,51.596326,-0.22562800000000002
233,E01000242,54.502369668246445,NW4 1RB,E00001186,51.593982000000004,-0.21519499999999997
234,E01000243,103.55648535564855,NW4 1DX,E00001199,51.590196999999996,-0.22113200000000002
235,E01000244,61.915244909190974,NW4 4LQ,E00001205,51.588237,-0.22594299999999998
236,E01000245,114.69194312796209,NW4 2ZL,E00001165,51.588021000000005,-0.221766
237,E01000246,37.377049180327866,EN5 5BH,E00001241,51.652057,-0.187168
238,E01000247,37.330981775426224,EN5 5QT,E00001210,51.654922,-0.18344000000000002
239,E01000248,100.23515579071135,EN5 3DL,E00001234,51.652544,-0.213083
240,E01000249,35.34370946822309,EN5 4QP,E00001221,51.656319,-0.208829
241,E01000250,136.48860958366063,EN5 5YL,E00001211,51.654759999999996,-0.199219
242,E01000251,76.47652700656234,EN5 5FL,E00001248,51.651274,-0.176112
243,E01000252,96.30526953361598,EN5 1EQ,E00001252,51.647341,-0.188094
244,E01000253,52.50737463126843,EN5 3JF,E00001254,51.646972,-0.23229499999999997
245,E01000254,39.14704010184596,EN5 4LE,E00001209,51.659014,-0.206308
246,E01000255,57.70536320434488,NW7 1EL,E00001263,51.619487,-0.2225
247,E01000256,54.525627044711015,NW7 2RG,E00001277,51.610931,-0.23113899999999998
248,E01000257,102.6525198938992,NW7 1WL,E00001281,51.608788,-0.211365
249,E01000258,141.29810453762207,NW7 2WB,E00001268,51.61547,-0.241175
250,E01000259,46.810891458411035,NW4 1RL,E00001292,51.603864,-0.22640300000000002
251,E01000260,92.3076923076923,NW7 2EH,E00001293,51.605166,-0.23582600000000004
252,E01000261,49.0625,NW7 4DT,E00001295,51.618946,-0.23485799999999998
253,E01000262,59.25925925925926,NW7 2HE,E00001271,51.612133,-0.217256
254,E01000263,36.885245901639344,NW7 3QP,E00001262,51.617004,-0.249927
255,E01000264,165.12166859791424,NW7 3JQ,E00001255,51.619162,-0.249295
256,E01000265,49.72513743128436,N20 0RS,E00001328,51.624256,-0.155063
257,E01000266,33.288948069241016,N20 0ZB,E00001326,51.625817,-0.165127
258,E01000267,43.450064850843056,EN5 9GN,E00001343,51.643239,-0.171145
259,E01000268,105.19271948608137,EN4 8RW,E00001332,51.64987,-0.174318
260,E01000269,37.07553707553708,EN5 1AF,E00001336,51.645288,-0.18618099999999999
261,E01000270,38.05073431241655,EN5 1LJ,E00001339,51.644928,-0.17164000000000001
262,E01000271,57.28155339805825,N20 9DF,E00001308,51.638061,-0.177076
263,E01000272,51.60807778608826,EN5 1BX,E00001307,51.637935,-0.16725399999999999
264,E01000273,71.24183006535948,N20 9ED,E00001312,51.634098,-0.173738
265,E01000274,59.77975878342947,N20 0EN,E00001322,51.626559,-0.15681900000000001
266,E01000275,33.791866028708135,N12 8TW,E00001356,51.620939,-0.183382
267,E01000276,21.28356254092993,N12 7AN,E00001362,51.616991999999996,-0.193954
268,E01000277,37.69140164899882,N12 8SD,E00001351,51.618136,-0.184172
269,E01000278,24.16721097322012,N12 7HZ,E00001365,51.614692,-0.191691
270,E01000279,58.020477815699664,N20 8AX,E00001370,51.637229999999995,-0.20014400000000002
271,E01000280,33.35777126099707,N20 8JH,E00001374,51.631187,-0.18548599999999998
272,E01000281,151.49308084486526,N20 0YN,E00001373,51.629862,-0.173677
273,E01000282,54.42583732057416,N20 9HZ,E00001376,51.631543,-0.176571
274,E01000283,26.52050919377652,N20 8ED,E00001381,51.628934,-0.185764
275,E01000284,67.88665879574971,N12 8SN,E00001392,51.621412,-0.182554
276,E01000285,45.48635409377187,EN5 2RH,E00001445,51.645089,-0.21071700000000002
277,E01000286,111.24473842453398,EN5 3AW,E00001436,51.647949,-0.22198
278,E01000287,54.095354523227385,EN5 2RE,E00001412,51.646086,-0.21417600000000003
279,E01000288,40.79754601226994,EN5 2DA,E00001443,51.643103,-0.189101
280,E01000289,78.33603457590492,EN5 2TT,E00001409,51.645143,-0.197201
281,E01000290,57.535959974984365,NW7 4HS,E00001423,51.639635999999996,-0.240211
282,E01000291,62.654320987654316,EN5 2WY,E00001407,51.643895,-0.20138399999999998
283,E01000292,76.6850068775791,EN5 2LH,E00001438,51.647457,-0.204452
284,E01000293,60.88235294117647,EN5 2HU,E00001429,51.650671,-0.198224
285,E01000294,54.56171735241502,EN5 2SE,E00001427,51.652446000000005,-0.20899600000000002
286,E01000295,64.4699140401146,N3  2ZD,E00001461,51.601448,-0.185445
287,E01000296,115.40632054176072,N3  1QL,E00001449,51.604088,-0.192199
